brand,fuel_type,transmission,year,car_age,km_driven,owners,selling_price
Toyota,Diesel,Manual,2011,14,154942,1,321000.0
Honda,Electric,Manual,2013,12,136873,3,251000.0
Toyota,CNG,Manual,2008,17,204875,2,92000.0
Volkswagen,Petrol,Automatic,2024,1,27056,1,841000.0
Tata,Petrol,Automatic,2018,7,76083,4,279000.0
Mahindra,Petrol,Automatic,2008,17,204445,2,81000.0
Tata,Petrol,Automatic,2017,8,87903,1,282000.0
Honda,CNG,Manual,2009,16,193290,1,80000.0
Honda,Petrol,Manual,2014,11,140310,1,245000.0
Hyundai,Petrol,Automatic,2014,11,131703,2,256000.0
Mahindra,Petrol,Automatic,2024,1,3517,1,836000.0
Honda,Petrol,Automatic,2024,1,11737,2,768000.0
Hyundai,Petrol,Automatic,2009,16,179722,1,106000.0
Honda,Petrol,Manual,2014,11,125370,3,230000.0
Hyundai,Petrol,Manual,2014,11,131286,1,216000.0
Volkswagen,Petrol,Manual,2015,10,120789,1,311000.0
Maruti Suzuki,Diesel,Automatic,2010,15,186510,3,80000.0
Honda,Electric,Automatic,2021,4,52744,1,806000.0
Ford,Diesel,Automatic,2023,2,26609,1,671000.0
Hyundai,CNG,Manual,2018,7,78365,2,326000.0
Toyota,CNG,Manual,2016,9,93972,3,423000.0
Mahindra,Diesel,Manual,2021,4,37325,1,696000.0
Maruti Suzuki,Petrol,Manual,2020,5,49133,2,419000.0
Mahindra,Electric,Manual,2020,5,68824,2,753000.0
Volkswagen,Petrol,Manual,2013,12,142810,1,200000.0
Toyota,Petrol,Manual,2013,12,136747,2,360000.0
Tata,Petrol,Automatic,2021,4,45215,2,491000.0
Hyundai,Petrol,Automatic,2018,7,94730,1,444000.0
Honda,CNG,Manual,2012,13,141961,1,149000.0
Honda,Diesel,Manual,2020,5,62996,1,570000.0
Maruti Suzuki,Petrol,Automatic,2018,7,76442,1,480000.0
Hyundai,Diesel,Automatic,2013,12,129897,1,300000.0
Honda,Electric,Automatic,2024,1,13421,3,868000.0
Volkswagen,Diesel,Automatic,2012,13,162671,1,278000.0
Maruti Suzuki,Diesel,Automatic,2016,9,111436,1,367000.0
Tata,Diesel,Manual,2022,3,27351,3,513000.0
Hyundai,Petrol,Automatic,2014,11,142853,2,174000.0
Mahindra,Diesel,Manual,2020,5,61777,1,634000.0
Ford,Petrol,Manual,2024,1,28339,2,629000.0
Maruti Suzuki,CNG,Manual,2009,16,197707,2,80000.0
Ford,Petrol,Manual,2024,1,7921,2,561000.0
Volkswagen,Petrol,Manual,2014,11,145901,1,265000.0
Tata,Petrol,Manual,2011,14,173337,1,80000.0
Tata,Electric,Manual,2024,1,4372,4,657000.0
Tata,Diesel,Manual,2013,12,150652,4,80000.0
Ford,Electric,Manual,2020,5,56673,4,515000.0
Volkswagen,Petrol,Manual,2022,3,36772,2,586000.0
Maruti Suzuki,Petrol,Manual,2024,1,14748,1,641000.0
Volkswagen,Diesel,Manual,2011,14,161279,3,106000.0
Honda,Petrol,Manual,2010,15,184347,2,80000.0
Honda,Petrol,Manual,2013,12,151072,1,191000.0
Mahindra,Electric,Manual,2012,13,156346,3,334000.0
Honda,Petrol,Automatic,2020,5,64671,2,577000.0
Volkswagen,Petrol,Manual,2023,2,30563,2,684000.0
Hyundai,Petrol,Automatic,2014,11,140321,1,271000.0
Volkswagen,Petrol,Automatic,2011,14,180538,1,184000.0
Hyundai,Petrol,Manual,2024,1,4070,1,708000.0
Volkswagen,Diesel,Automatic,2013,12,153491,1,308000.0
Ford,CNG,Manual,2011,14,172149,3,80000.0
Volkswagen,Diesel,Manual,2017,8,90436,1,452000.0
Hyundai,CNG,Automatic,2019,6,67528,2,479000.0
Ford,Petrol,Automatic,2022,3,48524,2,579000.0
Hyundai,Petrol,Manual,2011,14,156415,1,80000.0
Ford,CNG,Manual,2009,16,186212,1,80000.0
Honda,Electric,Manual,2022,3,50773,1,773000.0
Maruti Suzuki,Petrol,Manual,2013,12,138313,1,102000.0
Maruti Suzuki,Diesel,Manual,2019,6,76044,1,446000.0
Maruti Suzuki,Petrol,Manual,2021,4,45038,2,477000.0
Toyota,Petrol,Automatic,2010,15,178706,1,248000.0
Ford,Petrol,Automatic,2011,14,156105,1,91000.0
Mahindra,Diesel,Manual,2015,10,116430,1,358000.0
Hyundai,Diesel,Manual,2022,3,23328,2,637000.0
Maruti Suzuki,Electric,Automatic,2018,7,76264,1,571000.0
Maruti Suzuki,Diesel,Manual,2008,17,202232,1,80000.0
Hyundai,Diesel,Automatic,2008,17,200231,1,80000.0
Mahindra,Diesel,Automatic,2022,3,32052,1,794000.0
Honda,Petrol,Automatic,2016,9,122495,3,367000.0
Hyundai,Diesel,Automatic,2022,3,36916,2,698000.0
Hyundai,Diesel,Manual,2017,8,109485,2,356000.0
Toyota,Petrol,Automatic,2021,4,39747,2,775000.0
Ford,Petrol,Manual,2013,12,136534,4,80000.0
Maruti Suzuki,Diesel,Manual,2010,15,176701,1,80000.0
Ford,Diesel,Automatic,2012,13,146193,4,80000.0
Volkswagen,Diesel,Manual,2016,9,121471,1,387000.0
Hyundai,Diesel,Automatic,2014,11,137218,3,214000.0
Toyota,Petrol,Manual,2022,3,41994,1,784000.0
Mahindra,Petrol,Manual,2021,4,27121,1,671000.0
Maruti Suzuki,Petrol,Automatic,2022,3,48338,2,626000.0
Ford,Petrol,Manual,2009,16,205734,1,80000.0
Ford,Diesel,Manual,2010,15,164650,1,80000.0
Toyota,CNG,Manual,2015,10,132006,1,462000.0
Toyota,Petrol,Manual,2022,3,33426,2,827000.0
Toyota,Petrol,Automatic,2013,12,141927,1,423000.0
Hyundai,Petrol,Manual,2008,17,202952,3,80000.0
Tata,Petrol,Manual,2019,6,73114,3,309000.0
Ford,Petrol,Manual,2019,6,63475,1,413000.0
Toyota,Diesel,Manual,2015,10,115009,3,493000.0
Mahindra,Petrol,Automatic,2018,7,83752,2,590000.0
Volkswagen,CNG,Automatic,2015,10,124944,2,326000.0
Volkswagen,Diesel,Manual,2009,16,191486,3,80000.0
Maruti Suzuki,Petrol,Manual,2018,7,82046,1,384000.0
Mahindra,Petrol,Automatic,2020,5,57619,2,672000.0
Volkswagen,Petrol,Manual,2022,3,46704,2,661000.0
Honda,Petrol,Manual,2024,1,500,1,799000.0
Honda,Diesel,Automatic,2017,8,96022,1,552000.0
Volkswagen,Diesel,Manual,2019,6,72716,1,519000.0
Toyota,Diesel,Automatic,2013,12,150839,1,489000.0
Tata,Petrol,Manual,2022,3,26506,1,545000.0
Tata,Petrol,Manual,2011,14,161035,1,80000.0
Ford,Diesel,Manual,2017,8,108116,1,367000.0
Toyota,CNG,Manual,2014,11,124246,1,412000.0
Ford,Petrol,Automatic,2017,8,94849,1,391000.0
Mahindra,Diesel,Manual,2017,8,97979,2,527000.0
Hyundai,Petrol,Manual,2017,8,93797,1,381000.0
Tata,Petrol,Automatic,2011,14,182556,1,80000.0
Toyota,Petrol,Manual,2012,13,160194,3,239000.0
Ford,Diesel,Manual,2012,13,165796,1,146000.0
Hyundai,Petrol,Manual,2009,16,197335,2,80000.0
Hyundai,Petrol,Automatic,2024,1,15119,1,791000.0
Volkswagen,Petrol,Manual,2015,10,129045,1,354000.0
Maruti Suzuki,Petrol,Manual,2011,14,177908,2,80000.0
Toyota,Petrol,Manual,2013,12,157517,1,385000.0
Hyundai,Petrol,Automatic,2019,6,77559,2,535000.0
Mahindra,Petrol,Manual,2011,14,168883,2,149000.0
Ford,Diesel,Manual,2023,2,23839,1,652000.0
Ford,Petrol,Manual,2012,13,162922,1,85000.0
Mahindra,Diesel,Manual,2015,10,115780,2,384000.0
Mahindra,Petrol,Manual,2011,14,159435,1,150000.0
Tata,Petrol,Manual,2008,17,197215,1,80000.0
Toyota,CNG,Manual,2018,7,97517,1,633000.0
Toyota,CNG,Manual,2020,5,67352,3,618000.0
Mahindra,Petrol,Manual,2021,4,46600,1,637000.0
Hyundai,Petrol,Automatic,2017,8,94198,3,367000.0
Toyota,Diesel,Manual,2023,2,18796,1,908000.0
Maruti Suzuki,CNG,Automatic,2009,16,196062,1,80000.0
Tata,CNG,Automatic,2013,12,130748,1,142000.0
Tata,Diesel,Manual,2009,16,205115,2,80000.0
Ford,Electric,Manual,2010,15,173841,2,80000.0
Maruti Suzuki,Diesel,Automatic,2024,1,6137,1,736000.0
Toyota,Diesel,Manual,2012,13,154971,1,383000.0
Ford,Diesel,Manual,2014,11,139029,1,222000.0
Hyundai,Petrol,Manual,2013,12,150904,1,145000.0
Ford,Diesel,Manual,2020,5,59877,1,512000.0
Toyota,Diesel,Manual,2011,14,164883,2,294000.0
Honda,Petrol,Manual,2013,12,147956,1,213000.0
Volkswagen,Diesel,Manual,2008,17,206601,1,80000.0
Volkswagen,Diesel,Manual,2009,16,184410,1,80000.0
Maruti Suzuki,Petrol,Manual,2012,13,156709,2,81000.0
Tata,Petrol,Automatic,2008,17,197580,1,80000.0
Honda,Electric,Automatic,2018,7,93952,2,582000.0
Volkswagen,Petrol,Manual,2023,2,28857,1,734000.0
Hyundai,Petrol,Manual,2011,14,173133,1,99000.0
Mahindra,CNG,Manual,2011,14,179644,2,161000.0
Volkswagen,Diesel,Manual,2017,8,100454,1,445000.0
Maruti Suzuki,Petrol,Manual,2019,6,73683,2,374000.0
Honda,Diesel,Manual,2014,11,138700,1,283000.0
Volkswagen,Diesel,Manual,2019,6,70824,2,510000.0
Maruti Suzuki,CNG,Manual,2009,16,195197,2,80000.0
Ford,Diesel,Manual,2019,6,74470,2,460000.0
Volkswagen,Diesel,Manual,2014,11,140015,1,308000.0
Volkswagen,Diesel,Manual,2008,17,208313,1,80000.0
Honda,Petrol,Automatic,2018,7,92799,2,466000.0
Honda,Petrol,Manual,2020,5,73111,2,589000.0
Hyundai,Petrol,Automatic,2021,4,54615,2,604000.0
Volkswagen,Petrol,Manual,2012,13,153699,2,115000.0
Hyundai,CNG,Manual,2012,13,152848,1,89000.0
Maruti Suzuki,Diesel,Manual,2021,4,43698,1,554000.0
Toyota,Diesel,Manual,2009,16,204848,1,248000.0
Honda,Diesel,Manual,2020,5,64426,1,583000.0
Tata,Petrol,Manual,2008,17,203338,2,80000.0
Honda,Diesel,Automatic,2020,5,63645,1,629000.0
Ford,Petrol,Manual,2021,4,54800,4,435000.0
Tata,Petrol,Manual,2010,15,175777,1,80000.0
Tata,Diesel,Manual,2010,15,188263,2,80000.0
Tata,Diesel,Manual,2012,13,163273,1,92000.0
Ford,Diesel,Manual,2011,14,163182,2,80000.0
Toyota,Petrol,Automatic,2011,14,160367,2,278000.0
Hyundai,Petrol,Automatic,2017,8,92158,1,440000.0
Toyota,Petrol,Manual,2018,7,84813,1,581000.0
Ford,Petrol,Manual,2018,7,84535,3,313000.0
Hyundai,CNG,Automatic,2021,4,54354,1,562000.0
Volkswagen,Petrol,Manual,2019,6,65532,1,502000.0
Toyota,Petrol,Manual,2008,17,195873,3,80000.0
Hyundai,Diesel,Automatic,2024,1,5379,1,806000.0
Maruti Suzuki,Petrol,Manual,2023,2,22393,3,540000.0
Honda,Diesel,Manual,2022,3,47177,1,692000.0
Volkswagen,Diesel,Manual,2014,11,133027,2,302000.0
Toyota,Diesel,Manual,2022,3,33665,4,716000.0
Hyundai,Diesel,Manual,2010,15,180666,1,83000.0
Mahindra,Petrol,Manual,2018,7,84906,1,474000.0
Toyota,Diesel,Manual,2015,10,116421,3,477000.0
Volkswagen,Diesel,Manual,2013,12,138851,3,224000.0
Honda,CNG,Manual,2013,12,141321,1,188000.0
Tata,Diesel,Automatic,2012,13,172500,1,87000.0
Volkswagen,Petrol,Automatic,2023,2,23927,1,770000.0
Mahindra,Diesel,Manual,2013,12,147119,1,287000.0
Toyota,Diesel,Automatic,2012,13,159870,1,411000.0
Toyota,Petrol,Manual,2022,3,25376,1,834000.0
Mahindra,CNG,Manual,2023,2,30724,1,744000.0
Tata,Petrol,Automatic,2022,3,39578,1,533000.0
Volkswagen,Petrol,Automatic,2018,7,80183,1,538000.0
Tata,Diesel,Manual,2015,10,123756,4,88000.0
Ford,Petrol,Manual,2011,14,165312,1,80000.0
Tata,Petrol,Manual,2021,4,50740,1,460000.0
Maruti Suzuki,Diesel,Automatic,2008,17,200965,1,80000.0
Mahindra,CNG,Manual,2010,15,190460,1,88000.0
Maruti Suzuki,Petrol,Automatic,2013,12,149675,1,164000.0
Honda,CNG,Automatic,2020,5,67109,1,582000.0
Ford,Petrol,Manual,2011,14,166212,1,80000.0
Volkswagen,Petrol,Automatic,2010,15,185963,2,80000.0
Honda,CNG,Automatic,2016,9,98415,4,284000.0
Ford,Petrol,Manual,2024,1,7535,1,610000.0
Mahindra,CNG,Manual,2012,13,149534,1,182000.0
Tata,Petrol,Automatic,2011,14,163856,3,80000.0
Mahindra,Diesel,Manual,2015,10,119379,2,390000.0
Honda,Petrol,Manual,2011,14,165947,2,80000.0
Hyundai,Petrol,Manual,2016,9,126327,1,310000.0
Maruti Suzuki,Petrol,Manual,2013,12,142238,1,80000.0
Honda,Petrol,Manual,2024,1,10360,1,752000.0
Mahindra,CNG,Automatic,2008,17,212675,2,80000.0
Mahindra,Petrol,Manual,2016,9,101766,2,380000.0
Volkswagen,Diesel,Automatic,2016,9,107487,3,388000.0
Tata,Petrol,Manual,2019,6,74750,1,377000.0
Tata,Petrol,Automatic,2014,11,138485,1,187000.0
Toyota,Diesel,Manual,2008,17,186785,1,151000.0
Toyota,Diesel,Automatic,2019,6,70201,3,683000.0
Ford,Diesel,Manual,2018,7,84444,1,463000.0
Maruti Suzuki,Diesel,Automatic,2013,12,144466,1,198000.0
Maruti Suzuki,Diesel,Manual,2018,7,105424,1,381000.0
Tata,CNG,Manual,2013,12,147767,1,80000.0
Honda,Petrol,Manual,2013,12,141873,2,223000.0
Honda,Diesel,Manual,2016,9,93445,2,360000.0
Hyundai,Petrol,Manual,2008,17,215176,1,80000.0
Ford,Petrol,Automatic,2008,17,202764,1,80000.0
Hyundai,Diesel,Manual,2018,7,92882,2,388000.0
Hyundai,CNG,Manual,2013,12,159131,1,131000.0
Tata,Petrol,Automatic,2010,15,179182,1,80000.0
Mahindra,CNG,Manual,2013,12,141929,1,287000.0
Tata,CNG,Manual,2012,13,135009,4,80000.0
Maruti Suzuki,Electric,Manual,2022,3,35853,1,714000.0
Tata,Diesel,Automatic,2010,15,171492,1,80000.0
Maruti Suzuki,Diesel,Automatic,2019,6,73366,1,539000.0
Ford,Petrol,Manual,2022,3,31824,2,540000.0
Honda,CNG,Manual,2012,13,150449,3,101000.0
Tata,Diesel,Manual,2009,16,194127,3,80000.0
Tata,Diesel,Manual,2012,13,150676,3,80000.0
Toyota,Electric,Automatic,2023,2,25737,1,1054000.0
Ford,Petrol,Manual,2008,17,189481,2,80000.0
Volkswagen,Diesel,Manual,2021,4,30403,2,578000.0
Ford,Diesel,Automatic,2023,2,15814,1,685000.0
Honda,Petrol,Manual,2021,4,53781,2,552000.0
Mahindra,Diesel,Automatic,2017,8,92720,1,544000.0
Hyundai,Petrol,Automatic,2022,3,45674,1,625000.0
Tata,Diesel,Automatic,2016,9,112676,2,292000.0
Volkswagen,Petrol,Automatic,2021,4,34877,1,629000.0
Honda,Diesel,Manual,2020,5,60241,1,612000.0
Volkswagen,Petrol,Automatic,2023,2,14671,2,734000.0
Volkswagen,Petrol,Manual,2014,11,119259,1,250000.0
Ford,CNG,Manual,2014,11,137083,4,80000.0
Tata,Petrol,Manual,2024,1,17423,1,610000.0
Toyota,Diesel,Manual,2021,4,35480,1,794000.0
Ford,Diesel,Manual,2020,5,61810,1,507000.0
Ford,Petrol,Manual,2009,16,184285,1,80000.0
Maruti Suzuki,Petrol,Manual,2013,12,145517,1,139000.0
Mahindra,Petrol,Automatic,2018,7,82644,2,544000.0
Hyundai,Petrol,Automatic,2022,3,35101,1,681000.0
Volkswagen,Electric,Manual,2008,17,197260,1,136000.0
Honda,Diesel,Automatic,2019,6,75058,3,527000.0
Maruti Suzuki,Petrol,Automatic,2019,6,52598,3,413000.0
Honda,Diesel,Manual,2021,4,45708,2,624000.0
Toyota,CNG,Manual,2016,9,111139,2,477000.0
Toyota,Diesel,Manual,2009,16,197383,1,207000.0
Honda,Petrol,Manual,2015,10,139737,1,283000.0
Honda,Petrol,Manual,2017,8,88593,2,386000.0
Tata,Petrol,Manual,2024,1,10171,1,577000.0
Ford,Petrol,Automatic,2018,7,95295,1,403000.0
Volkswagen,Diesel,Manual,2019,6,77382,1,562000.0
Mahindra,Petrol,Manual,2008,17,197227,2,80000.0
Toyota,Petrol,Manual,2011,14,176221,2,240000.0
Volkswagen,CNG,Automatic,2015,10,116225,3,285000.0
Tata,Petrol,Manual,2020,5,58593,1,449000.0
Hyundai,Electric,Manual,2018,7,73918,1,547000.0
Hyundai,CNG,Automatic,2020,5,67227,1,546000.0
Honda,Petrol,Manual,2013,12,141896,3,112000.0
Maruti Suzuki,Diesel,Automatic,2012,13,143432,1,172000.0
Maruti Suzuki,Electric,Manual,2022,3,39644,4,609000.0
Mahindra,Petrol,Automatic,2021,4,30305,1,759000.0
Mahindra,CNG,Manual,2020,5,56566,4,513000.0
Volkswagen,Diesel,Manual,2019,6,68609,2,479000.0
Ford,Petrol,Manual,2013,12,148389,3,80000.0
Hyundai,Diesel,Manual,2023,2,23320,2,632000.0
Ford,Petrol,Manual,2024,1,13857,2,591000.0
Mahindra,Diesel,Automatic,2011,14,172947,1,263000.0
Honda,Petrol,Automatic,2015,10,123756,1,391000.0
Tata,Petrol,Manual,2019,6,65630,1,369000.0
Volkswagen,Electric,Automatic,2008,17,193247,2,117000.0
Honda,Petrol,Manual,2021,4,57957,1,555000.0
Maruti Suzuki,Petrol,Manual,2020,5,63897,1,472000.0
Maruti Suzuki,Petrol,Automatic,2020,5,57083,2,451000.0
Volkswagen,Diesel,Manual,2020,5,66234,3,528000.0
Volkswagen,Petrol,Automatic,2017,8,96900,1,496000.0
Volkswagen,Petrol,Manual,2014,11,132737,1,257000.0
Hyundai,CNG,Manual,2010,15,174776,2,80000.0
Hyundai,CNG,Manual,2020,5,65521,1,421000.0
Hyundai,Petrol,Manual,2010,15,175249,2,80000.0
Toyota,Diesel,Automatic,2012,13,162908,1,431000.0
Mahindra,Petrol,Automatic,2011,14,179677,2,153000.0
Honda,Petrol,Automatic,2009,16,195347,4,80000.0
Hyundai,Diesel,Manual,2023,2,32415,2,635000.0
Mahindra,Diesel,Automatic,2011,14,167611,1,281000.0
Ford,Diesel,Manual,2008,17,200657,1,80000.0
Maruti Suzuki,Petrol,Manual,2013,12,136463,1,130000.0
Maruti Suzuki,Diesel,Manual,2008,17,202536,1,80000.0
Volkswagen,Diesel,Manual,2018,7,71857,2,465000.0
Honda,Diesel,Manual,2015,10,120056,2,307000.0
Mahindra,Petrol,Automatic,2010,15,181497,2,156000.0
Toyota,Petrol,Automatic,2012,13,154358,3,307000.0
Hyundai,CNG,Automatic,2023,2,20861,1,683000.0
Tata,Petrol,Manual,2024,1,11102,3,559000.0
Tata,Petrol,Automatic,2023,2,33900,1,581000.0
Mahindra,Petrol,Automatic,2020,5,65607,1,687000.0
Ford,Petrol,Automatic,2017,8,99239,1,369000.0
Hyundai,Petrol,Manual,2012,13,158729,1,85000.0
Maruti Suzuki,Petrol,Manual,2017,8,109645,2,280000.0
Volkswagen,Diesel,Automatic,2018,7,74512,3,511000.0
Toyota,Petrol,Manual,2019,6,64912,2,628000.0
Tata,Petrol,Automatic,2022,3,22759,2,592000.0
Mahindra,Petrol,Manual,2009,16,190280,2,80000.0
Hyundai,Petrol,Manual,2008,17,204350,1,80000.0
Toyota,CNG,Manual,2016,9,104916,2,474000.0
Volkswagen,Diesel,Manual,2010,15,182802,2,88000.0
Honda,Diesel,Manual,2024,1,27722,2,770000.0
Tata,Petrol,Manual,2022,3,29729,1,489000.0
Volkswagen,CNG,Manual,2010,15,183682,2,80000.0
Mahindra,Electric,Automatic,2013,12,142927,1,417000.0
Volkswagen,Petrol,Manual,2008,17,211820,1,80000.0
Tata,Diesel,Manual,2024,1,8636,3,616000.0
Honda,Diesel,Manual,2011,14,158771,2,135000.0
Hyundai,CNG,Manual,2018,7,73667,2,374000.0
